Taxon Group,Taxon
PORIFERA,PORIFERA
COELENTERATA,COELENTERATA
PLATYHELMINTHES,TURBELLARIA
ANNELIDA,OLIGOCHAETA
,HIRUDINEA
CRUSTACEA,AMPHIPODA
,POTAMONAUTIDAE
,ATYIDAE
,PALAEMONIDAE
ARACHNIDA,HYDRACARINA
PLECOPTERA,NOTONEMOURIDAE
,PERLIDAE
EPHEMEROPTERA,BAETIDAE 1 SP
,BAETIDAE 2 SP
,BAETIDAE > 2 SP
,CAENIDAE
,EPHEMERIDAE
,HEPTAGENIIDAE
,LEPTOPHLEBIIDAE
,OLIGONEURIDAE
,POLYMITARCYIDAE
,PROSOPISTOMATIDAE
,TELOGANODIDAE
,TRICORYTHIDAE
ODONATA,CALOPTERYGIDAE
,CHLOROCYPHIDAE
,SYNLESTIDAE/CHLOROLESTIDAE
,COENAGRIONIDAE
,LESTIDAE
,PLATYCNEMIDAE
,PROTONEURIDAE
,AESHNIDAE
,CORDULIIDAE
,GOMPHIDAE
,LIBELLULIDAE
LEPIDOPTERA,CRAMBIDAE (PYRALIDAE)
HEMIPTERA,BELOSTOMATIDAE
,CORIXIDAE
,GERRIDAE
,HYDROMETRIDAE
,NAUCORIDAE
,NEPIDAE
,NOTONECTIDAE
,PLEIDAE
,VELIIDAE/MESOVELIIDAE
MEGALOPTERA,CORYDALIDAE
,SIALIDAE
TRICHOPTERA,DIPSEUDOPSIDAE
,ECNOMIDAE
,HYDROPSYCHIDAE 1 SP
,HYDROPSYCHIDAE 2 SP
,HYDROPSYCHIDAE > 2 SP
,PHILOPOTAMIDAE
,POLYCENTROPODIDAE
,PSYCHOMYIIDAE/XIPHOCENTRONIDAE
,BARBAROCHTHONIDAE
,CALAMOCERATIDAE
,GLOSSOSOMATIDAE
,HYDROPTILIDAE
,HYDROSALPINGIDAE
,LEPIDOSTOMATIDAE
,LEPTOCERIDAE
,PETROTHRINCIDAE
,PISULIIDAE
,SERICOSTOMATIDAE
COLEOPTERA,DYTISCIDAE/NOTERIDAE
,ELMIDAE/DRYOPIDAE
,GYRINIDAE
,HALIPLIDAE
,SCIRTIDAE
,HYDRAENIDAE
,HYDROPHILIDAE
,LIMNICHIDAE
,PSEPHENIDAE
DIPTERA,ATHERICIDAE
,BLEPHARICERIDAE
,CERATOPOGONIDAE
,CHIRONOMIDAE
,CULICIDAE
,DIXIDAE
,EMPIDIDAE
,EPHYDRIDAE
,MUSCIDAE
,PSYCHODIDAE
,SIMULIIDAE
,SYRPHIDAE
,TABANIDAE
,TIPULIDAE
GASTROPODA,ANCYLIDAE
,BULININAE
,HYDROBIIDAE
,LYMNAEIDAE
,PHYSIDAE
,PLANORBINAE
,THIARIDAE
,VIVIPARIDAE
PELECYPODA,CORBICULIDAE
,SPHAERIIDAE
,UNIONIDAE
